Not Tested on Animals
Free From Pork
Suitable for Diabetics
Suitable for Vegetarians
Suitable for Coeliacs
Low in sugar
Halal
No Added Salt
Kosher
Free from Trans Fat
Non Alcoholic
Dolphin friendly
Gluten free
0% Fat
No Sugar
Suitable for low in salt/natrium diet
Laag vetgehalte
No Added Sugar
Free From Beef
Low Fat
Organic
Suitable for Vegans
Suitable for Sufferers of Lactose Intolerance
No Added Sweetener
